# Spherical Bessel functions via up and down recursion, l = 10
#   x       jdown(x)      jup(x)         rel. error          log10(x)    log10(rel.err.)   Bessel GSL Routuine
5.10000000 4.85250757e-04 4.85250757e-04  5.34671149e-13  7.07570176e-01  -1.22719132e+01  4.85250757e-04
5.20000000 5.75548880e-04 5.75548880e-04  2.23302190e-12  7.16003344e-01  -1.16511070e+01  5.75548880e-04
5.30000000 6.79785360e-04 6.79785360e-04  2.65657582e-12  7.24275870e-01  -1.15756778e+01  6.79785360e-04
5.40000000 7.99638393e-04 7.99638392e-04  1.98783453e-12  7.32393760e-01  -1.17016198e+01  7.99638393e-04
5.50000000 9.36921026e-04 9.36921026e-04  5.68241572e-13  7.40362689e-01  -1.22454670e+01  9.36921026e-04
5.60000000 1.09358367e-03 1.09358367e-03  2.31893448e-13  7.48188027e-01  -1.26347115e+01  1.09358367e-03
5.70000000 1.27171559e-03 1.27171559e-03  2.73498304e-13  7.55874856e-01  -1.25630454e+01  1.27171559e-03
5.80000000 1.47354527e-03 1.47354527e-03  8.50338619e-13  7.63427994e-01  -1.20704081e+01  1.47354527e-03
5.90000000 1.70143952e-03 1.70143952e-03  2.77002314e-13  7.70852012e-01  -1.25575166e+01  1.70143952e-03
6.00000000 1.95790120e-03 1.95790120e-03  1.95697846e-13  7.78151250e-01  -1.27084140e+01  1.95790120e-03
6.10000000 2.24556545e-03 2.24556545e-03  6.56634146e-15  7.85329835e-01  -1.41826765e+01  2.24556545e-03
6.20000000 2.56719436e-03 2.56719436e-03  1.19772675e-13  7.92391689e-01  -1.29216423e+01  2.56719436e-03
6.30000000 2.92566988e-03 2.92566988e-03  3.42418266e-14  7.99340549e-01  -1.34654431e+01  2.92566988e-03
6.40000000 3.32398496e-03 3.32398496e-03  5.67545221e-14  8.06179974e-01  -1.32459995e+01  3.32398496e-03
6.50000000 3.76523288e-03 3.76523288e-03  1.49734465e-14  8.12913357e-01  -1.38246782e+01  3.76523288e-03
6.60000000 4.25259451e-03 4.25259451e-03  1.12178331e-14  8.19543936e-01  -1.39500910e+01  4.25259451e-03
6.70000000 4.78932373e-03 4.78932373e-03  6.51971433e-15  8.26074803e-01  -1.41857714e+01  4.78932373e-03
6.80000000 5.37873068e-03 5.37873068e-03  2.49949435e-15  8.32508913e-01  -1.46021478e+01  5.37873068e-03
6.90000000 6.02416305e-03 6.02416305e-03  7.91892504e-16  8.38849091e-01  -1.51013338e+01  6.02416305e-03
7.00000000 6.72898526e-03 6.72898526e-03  1.14720410e-14  8.45098040e-01  -1.39403593e+01  6.72898526e-03
